Year,Anomaly,co2_avg,decade,temp_change,co2_change,temp_acceleration,co2_acceleration,temp_trend,co2_trend
1958,0.04,315.23699999999997,1950,,,,,,
1959,0.1,315.9816666666666,1950,0.060000000000000005,0.7446666666666601,,,,
1960,-0.01,316.90833333333336,1960,-0.11,0.9266666666667334,-0.17,0.18200000000007321,,
1961,0.13,317.6433333333334,1960,0.14,0.7350000000000136,0.25,-0.19166666666671972,,
1962,0.03,318.4533333333333,1960,-0.1,0.8099999999999454,-0.24000000000000002,0.07499999999993179,,
1963,0.03,318.9925,1960,0.0,0.5391666666666879,0.1,-0.27083333333325754,,
1964,-0.03,319.62,1960,-0.06,0.6274999999999977,-0.06,0.08833333333330984,,
1965,-0.08,320.0366666666667,1960,-0.05,0.4166666666666856,0.009999999999999995,-0.2108333333333121,,
1966,0.04,321.3675,1960,0.12,1.3308333333333167,0.16999999999999998,0.914166666666631,,
1967,0.0,322.1791666666667,1960,-0.04,0.8116666666666674,-0.16,-0.5191666666666492,-0.00975757575757576,0.7411585858585895
1968,-0.02,323.05,1960,-0.02,0.8708333333333371,0.02,0.0591666666666697,-0.01121212121212121,0.7546010101010118
1969,0.1,324.62083333333334,1960,0.12000000000000001,1.5708333333333258,0.14,0.6999999999999886,-0.0013939393939393935,0.8086666666666651
1970,0.02,325.6816666666667,1970,-0.08,1.0608333333333348,-0.2,-0.5099999999999909,-0.003272727272727273,0.8776565656565647
1971,-0.09,326.32,1970,-0.11,0.6383333333333212,-0.03,-0.42250000000001364,-0.002181818181818181,0.9241212121212123
1972,0.13,327.45666666666665,1970,0.22,1.136666666666656,0.33,0.49833333333333485,0.006909090909090912,0.9814141414141392
1973,0.27,329.6816666666667,1970,0.14,2.2250000000000227,-0.07999999999999999,1.0883333333333667,0.02242424242424243,1.0868838383838364
1974,0.0,330.1933333333333,1970,-0.27,0.5116666666666561,-0.41000000000000003,-1.7133333333333667,0.01630303030303031,1.1325303030303004
1975,0.08,331.12833333333333,1970,0.08,0.9350000000000023,0.35000000000000003,0.4233333333333462,0.010848484848484852,1.1287929292929275
1976,-0.07,332.0266666666667,1970,-0.15000000000000002,0.898333333333369,-0.23000000000000004,-0.03666666666663332,0.003272727272727272,1.1283333333333339
1977,0.28,333.8441666666667,1970,0.35000000000000003,1.8174999999999955,0.5,0.9191666666666265,0.013454545454545457,1.151919191919194
1978,0.04,335.415,1970,-0.24000000000000002,1.5708333333333258,-0.5900000000000001,-0.2466666666666697,0.0058181818181818196,1.1778484848484883
1979,0.2,336.835,1970,0.16,1.419999999999959,0.4,-0.15083333333336668,0.014181818181818184,1.2360757575757593
1980,0.27,338.7625,1980,0.07,1.927500000000009,-0.09,0.50750000000005,0.019818181818181818,1.3221111111111121
1981,0.33,340.12,1980,0.06,1.357500000000016,-0.010000000000000009,-0.5699999999999932,0.018363636363636367,1.3661919191919196
1982,0.1,341.4783333333333,1980,-0.23,1.3583333333332916,-0.29000000000000004,0.000833333333275732,0.013939393939393939,1.392868686868684
1983,0.3,343.1525,1980,0.19999999999999998,1.6741666666666788,0.43,0.31583333333338715,0.03012121212121213,1.4892373737373696
1984,0.11,344.86833333333334,1980,-0.19,1.7158333333333644,-0.39,0.041666666666685614,0.01757575757575757,1.5500252525252485
1985,0.2,346.3516666666667,1980,0.09000000000000001,1.4833333333333485,0.28,-0.23250000000001592,0.013939393939393939,1.5761767676767646
1986,0.18,347.6075,1980,-0.020000000000000018,1.255833333333328,-0.11000000000000003,-0.22750000000002046,-0.0022424242424242454,1.546191919191919
1987,0.36,349.31166666666667,1980,0.18,1.7041666666666515,0.2,0.4483333333333235,0.011696969696969694,1.5414696969696986
1988,0.43,351.69,1980,0.07,2.3783333333333303,-0.10999999999999999,0.6741666666666788,0.012484848484848482,1.5837121212121243
1989,0.22,353.205,1980,-0.21,1.5149999999999864,-0.28,-0.8633333333333439,0.007757575757575756,1.60598484848485
1990,0.39,354.45250000000004,1990,0.17,1.2475000000000591,0.38,-0.26749999999992724,0.016727272727272726,1.6263787878787914
1991,0.54,355.70416666666665,1990,0.15000000000000002,1.2516666666666083,-0.01999999999999999,0.00416666666654919,0.03642424242424243,1.6153636363636394
1992,0.3,356.54583333333335,1990,-0.24000000000000005,0.841666666666697,-0.39000000000000007,-0.4099999999999113,0.025151515151515154,1.5519141414141429
1993,0.31,357.215,1990,0.010000000000000009,0.6691666666666265,0.25000000000000006,-0.17250000000007049,0.025333333333333333,1.4539393939393919
1994,0.43,358.9591666666667,1990,0.12,1.7441666666667288,0.10999999999999999,1.0750000000001023,0.019272727272727275,1.3950353535353532
1995,0.47,360.9683333333333,1990,0.03999999999999998,2.0091666666666015,-0.08000000000000002,0.26499999999987267,0.017515151515151522,1.37381313131313
1996,0.3,362.74333333333334,1990,-0.16999999999999998,1.775000000000034,-0.20999999999999996,-0.23416666666656738,0.0018787878787878776,1.3559595959595958
1997,0.56,363.8766666666666,1990,0.26000000000000006,1.133333333333269,0.43000000000000005,-0.6416666666667652,0.010969696969696971,1.3300707070707036
1998,0.74,366.84,1990,0.17999999999999994,2.9633333333333667,-0.08000000000000013,1.8300000000000978,0.03212121212121213,1.4478282828282785
1999,0.41,368.53999999999996,1990,-0.33,1.6999999999999886,-0.51,-1.263333333333378,0.01751515151515151,1.575676767676761
2000,0.39,369.7075,2000,-0.019999999999999962,1.1675000000000182,0.31000000000000005,-0.5324999999999704,0.010848484848484852,1.6644949494949457
2001,0.53,371.31916666666666,2000,0.14,1.6116666666666788,0.15999999999999998,0.4441666666666606,0.021818181818181823,1.7397575757575725
2002,0.58,373.45250000000004,2000,0.04999999999999993,2.1333333333333826,-0.09000000000000008,0.5216666666667038,0.01963636363636364,1.798222222222224
2003,0.5,375.98333333333335,2000,-0.07999999999999996,2.5308333333333053,-0.1299999999999999,0.3974999999999227,0.010363636363636365,1.8344141414141437
2004,0.44,377.6983333333333,2000,-0.06,1.714999999999975,0.019999999999999962,-0.8158333333333303,0.003515151515151516,1.8529343434343484
2005,0.67,379.98333333333335,2000,0.23000000000000004,2.285000000000025,0.29000000000000004,0.57000000000005,0.011757575757575758,1.9028939393939446
2006,0.64,382.09083333333336,2000,-0.030000000000000027,2.107500000000016,-0.26000000000000006,-0.1775000000000091,0.004606060606060607,1.955656565656574
2007,0.59,384.02500000000003,2000,-0.050000000000000044,1.9341666666666697,-0.020000000000000018,-0.17333333333334622,0.00793939393939394,1.954959595959603
2008,0.49,385.8325,2000,-0.09999999999999998,1.8074999999999477,-0.04999999999999993,-0.126666666666722,0.017454545454545452,2.0061868686868727
2009,0.68,387.6425,2000,0.19000000000000006,1.8100000000000023,0.29000000000000004,0.0025000000000545697,0.01836363636363637,2.039262626262626
2010,0.71,390.1016666666667,2010,0.029999999999999916,2.459166666666704,-0.16000000000000014,0.6491666666667015,0.016303030303030302,2.0527626262626253
2011,0.62,391.85083333333336,2010,-0.08999999999999997,1.7491666666666674,-0.11999999999999988,-0.7100000000000364,0.01478787878787879,2.0219141414141397
2012,0.7,394.05583333333334,2010,0.07999999999999996,2.204999999999984,0.16999999999999993,0.45583333333331666,0.019878787878787878,2.0046919191919192
2013,0.71,396.7375,2010,0.010000000000000009,2.681666666666672,-0.06999999999999995,0.4766666666666879,0.018727272727272724,2.052727272727273
2014,0.72,398.8125,2010,0.010000000000000009,2.0749999999999886,0.0,-0.6066666666666833,0.011575757575757569,2.0767121212121196
2015,0.87,401.0125,2010,0.15000000000000002,2.1999999999999886,0.14,0.125,0.024545454545454547,2.1171010101010075
2016,0.85,404.41249999999997,2010,-0.020000000000000018,3.3999999999999773,-0.17000000000000004,1.1999999999999886,0.031999999999999994,2.2285454545454515
2017,0.78,406.7583333333334,2010,-0.06999999999999995,2.3458333333334167,-0.04999999999999993,-1.0541666666665606,0.029757575757575754,2.326323232323234
2018,0.8,408.715,2010,0.020000000000000018,1.9566666666665924,0.08999999999999997,-0.3891666666668243,0.01963636363636364,2.375772727272726
2019,0.92,411.64916666666664,2010,0.12,2.9341666666666697,0.09999999999999998,0.9775000000000773,0.02496969696969698,2.4285707070707034
2020,0.94,414.21333333333337,2020,0.019999999999999907,2.564166666666722,-0.10000000000000009,-0.3699999999999477,0.030484848484848493,2.494186868686868
2021,0.85,416.4141666666667,2020,-0.08999999999999997,2.200833333333321,-0.10999999999999988,-0.3633333333334008,0.02230303030303031,2.504196969696971
2022,0.93,418.52833333333336,2020,0.08000000000000007,2.1141666666666765,0.17000000000000004,-0.08666666666664469,0.021030303030303035,2.478787878787882
2023,1.08,421.0758333333333,2020,0.15000000000000002,2.547499999999957,0.06999999999999995,0.4333333333332803,0.025818181818181823,2.4744747474747504
2024,1.21,424.6041666666667,2020,0.1299999999999999,3.5283333333333644,-0.02000000000000013,0.9808333333334076,0.03387878787878788,2.5059393939393972
2025,0.98,428.60833333333335,2020,-0.22999999999999998,4.004166666666663,-0.3599999999999999,0.47583333333329847,0.03345454545454546,2.589853535353538
